country;session;group;contribution;round;endowment;player;gender;age;lcp
SouthAfrica;2;7;10;2;30;2;Male;21;FreeRider
SouthAfrica;2;7;20;2;30;3;Female;22;FreeRider
SouthAfrica;2;6;20;2;30;4;Female;23;Conditional
SouthAfrica;2;7;5;2;10;5;Female;21;Others
SouthAfrica;2;6;10;2;30;6;Male;20;FreeRider
SouthAfrica;2;8;20;2;30;7;Male;20;Contributor
SouthAfrica;2;5;10;2;30;8;Male;20;Contributor
SouthAfrica;2;7;9;2;10;9;Male;21;Conditional
SouthAfrica;2;5;15;2;30;10;Male;21;FreeRider
SouthAfrica;2;5;0;2;10;11;Male;19;Conditional
SouthAfrica;2;8;8;2;10;12;Male;19;Contributor
SouthAfrica;2;8;10;2;10;13;Male;20;Contributor
SouthAfrica;2;5;0;2;10;14;Male;21;Contributor
SouthAfrica;2;6;10;2;10;15;Male;22;Conditional
SouthAfrica;2;6;5;2;10;16;Female;20;Conditional
SouthAfrica;2;8;20;3;30;1;Female;19;Conditional
SouthAfrica;2;7;5;3;30;2;Male;21;FreeRider
SouthAfrica;2;7;15;3;30;3;Female;22;FreeRider
SouthAfrica;2;6;10;3;30;4;Female;23;Conditional
SouthAfrica;2;7;6;3;10;5;Female;21;Others
SouthAfrica;2;6;0;3;30;6;Male;20;FreeRider
SouthAfrica;2;8;25;3;30;7;Male;20;Contributor
SouthAfrica;2;5;15;3;30;8;Male;20;Contributor
SouthAfrica;2;7;10;3;10;9;Male;21;Conditional
SouthAfrica;2;5;0;3;30;10;Male;21;FreeRider
SouthAfrica;2;5;6;3;10;11;Male;19;Conditional
SouthAfrica;2;8;10;3;10;12;Male;19;Contributor
SouthAfrica;2;8;10;3;10;13;Male;20;Contributor
SouthAfrica;2;5;9;3;10;14;Male;21;Contributor
SouthAfrica;2;6;10;3;10;15;Male;22;Conditional
SouthAfrica;2;6;10;3;10;16;Female;20;Conditional
SouthAfrica;2;8;17;4;30;1;Female;19;Conditional
SouthAfrica;2;7;10;4;30;2;Male;21;FreeRider
SouthAfrica;2;7;30;4;30;3;Female;22;FreeRider
SouthAfrica;2;6;10;4;30;4;Female;23;Conditional
SouthAfrica;2;7;5;4;10;5;Female;21;Others
SouthAfrica;2;6;5;4;30;6;Male;20;FreeRider
SouthAfrica;2;8;25;4;30;7;Male;20;Contributor
SouthAfrica;2;5;10;4;30;8;Male;20;Contributor
SouthAfrica;2;7;5;4;10;9;Male;21;Conditional
SouthAfrica;2;5;15;4;30;10;Male;21;FreeRider
SouthAfrica;2;5;10;4;10;11;Male;19;Conditional
SouthAfrica;2;8;6;4;10;12;Male;19;Contributor
SouthAfrica;2;8;10;4;10;13;Male;20;Contributor
SouthAfrica;2;5;6;4;10;14;Male;21;Contributor
SouthAfrica;2;6;10;4;10;15;Male;22;Conditional
SouthAfrica;2;6;0;4;10;16;Female;20;Conditional
SouthAfrica;2;8;19;5;30;1;Female;19;Conditional
SouthAfrica;2;7;0;5;30;2;Male;21;FreeRider
SouthAfrica;2;7;10;5;30;3;Female;22;FreeRider
SouthAfrica;2;6;0;5;30;4;Female;23;Conditional
SouthAfrica;2;7;8;5;10;5;Female;21;Others
SouthAfrica;2;6;6;5;30;6;Male;20;FreeRider
SouthAfrica;2;8;20;5;30;7;Male;20;Contributor
SouthAfrica;2;5;15;5;30;8;Male;20;Contributor
SouthAfrica;2;7;10;5;10;9;Male;21;Conditional
SouthAfrica;2;5;10;5;30;10;Male;21;FreeRider
SouthAfrica;2;5;10;5;10;11;Male;19;Conditional
SouthAfrica;2;8;5;5;10;12;Male;19;Contributor
SouthAfrica;2;8;10;5;10;13;Male;20;Contributor
SouthAfrica;2;5;10;5;10;14;Male;21;Contributor
SouthAfrica;2;6;5;5;10;15;Male;22;Conditional
SouthAfrica;2;6;5;5;10;16;Female;20;Conditional
